Wavelength (nm), Global Tilt (W m-2 nm-1), Flux (W m-2)
3710.00, 9.364000e-03, 2.802006e-02
3715.00, 9.225400e-03, 2.764253e-02
3720.00, 1.037600e-02, 3.113197e-02
3725.00, 1.069800e-02, 3.214124e-02
3730.00, 9.270700e-03, 2.789042e-02
3735.00, 8.583700e-03, 2.585823e-02
3740.00, 8.849400e-03, 2.669434e-02
3745.00, 1.033100e-02, 3.120527e-02
3750.00, 9.290300e-03, 2.809925e-02
3755.00, 8.991800e-03, 2.723267e-02
3760.00, 8.863300e-03, 2.687924e-02
3765.00, 8.550200e-03, 2.596420e-02
3770.00, 9.124300e-03, 2.774435e-02
3775.00, 9.052100e-03, 2.756132e-02
3780.00, 9.574600e-03, 2.919081e-02
3785.00, 8.812300e-03, 2.690227e-02
3790.00, 7.756400e-03, 2.371008e-02
3795.00, 8.869200e-03, 2.714751e-02
3800.00, 9.859200e-03, 3.021753e-02
3805.00, 9.304900e-03, 2.855618e-02
3810.00, 8.245100e-03, 2.533697e-02
3815.00, 7.756900e-03, 2.386802e-02
3820.00, 9.655000e-03, 2.974742e-02
3825.00, 9.505600e-03, 2.932545e-02
3830.00, 9.592500e-03, 2.963223e-02
3835.00, 7.691600e-03, 2.379117e-02
3840.00, 8.975600e-03, 2.779895e-02
3845.00, 8.780100e-03, 2.722886e-02
3850.00, 8.827400e-03, 2.741115e-02
3855.00, 8.508500e-03, 2.645520e-02
3860.00, 7.994000e-03, 2.488772e-02
3865.00, 8.098900e-03, 2.524697e-02
3870.00, 7.360400e-03, 2.297450e-02
3875.00, 6.762000e-03, 2.113395e-02
3880.00, 6.534000e-03, 2.044770e-02
3885.00, 6.771700e-03, 2.121888e-02
3890.00, 6.881800e-03, 2.159163e-02
3895.00, 7.476000e-03, 2.348608e-02
3900.00, 7.925400e-03, 2.492984e-02
3905.00, 7.926900e-03, 2.496653e-02
3910.00, 7.135300e-03, 2.250208e-02
3915.00, 6.986800e-03, 2.206194e-02
3920.00, 6.946600e-03, 2.196302e-02
3925.00, 6.852000e-03, 2.169156e-02
3930.00, 7.050200e-03, 2.234744e-02
3935.00, 7.354100e-03, 2.334038e-02
3940.00, 7.402700e-03, 2.352448e-02
3945.00, 7.541200e-03, 2.399502e-02
3950.00, 7.627700e-03, 2.430101e-02
3955.00, 7.719900e-03, 2.462589e-02
3960.00, 7.748200e-03, 2.474741e-02
3965.00, 7.805700e-03, 2.496254e-02
3970.00, 7.680600e-03, 2.459344e-02
3975.00, 7.509700e-03, 2.407650e-02
3980.00, 7.387200e-03, 2.371355e-02
3985.00, 7.432700e-03, 2.388959e-02
3990.00, 7.372300e-03, 2.372518e-02
3995.00, 7.210000e-03, 2.323195e-02
4000.00, 7.104300e-03, 2.292002e-02
